model,model_label,params,training,example_index,hop,question,load_status,context_available,failure_mode,gold_any_in_context,gold_all_in_context,evidence_support_ratio,answer_set_error,em,f1,precision,recall,missing_count,extra_count,gold_answer_count,pred_answer_count
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,17,1,what films did [Aleksandr Gordon] act in,valid_json,True,hallucination / grounding failure,True,True,0.75,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,18,1,what does [Stephen Furst] act in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,19,1,what does [Hiromi Nagasaku] star in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,20,1,what films does [Claude Akins] appear in,valid_json,True,hallucination / grounding failure,True,True,0.42857142857142855,partial: incomplete answer set,0.0,0.8,1.0,0.6666666666666666,1,0,3,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,21,1,what films did [Arjun Rampal] act in,valid_json,True,hallucination / grounding failure,True,True,0.06666666666666667,exact miss,0.0,0.0,0.0,0.0,7,1,7,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,22,1,what movies was [Chris O'Donnell] an actor in,valid_json,True,hallucination / grounding failure,True,True,0.3333333333333333,exact miss,0.0,0.0,0.0,0.0,11,1,11,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,23,1,what does [May Robson] act in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,partial: incomplete answer set,0.0,0.6666666666666666,1.0,0.5,1,0,2,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,24,1,what films did [Melvin Van Peebles] star in,valid_json,True,hallucination / grounding failure,True,True,0.1111111111111111,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,25,1,what does [Tannishtha Chatterjee] appear in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,26,1,what movies was [Michael Tully] an actor in,valid_json,True,hallucination / grounding failure,True,True,0.3333333333333333,partial: overgeneration,0.0,0.6666666666666666,0.5,1.0,0,1,1,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,27,1,what movies was [Dan Petronijevic] an actor in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,28,1,what films did [Phil Silvers] act in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,3,3
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,29,1,what films does [James B. Schwartz] appear in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,30,1,what films did [Piolo Pascual] star in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,31,1,what movies was [Eiji Funakoshi] an actor in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,32,1,what films does [Richard Roundtree] appear in,valid_json,True,hallucination / grounding failure,True,True,0.8333333333333334,partial: incomplete answer set,0.0,0.4,1.0,0.25,3,0,4,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,33,1,what movies did [Darren McGavin] star in,valid_json,True,hallucination / grounding failure,True,True,0.5,partial: incomplete answer set,0.0,0.4,1.0,0.25,3,0,4,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,34,1,what films did [Stéphane Demers] act in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,35,1,what does [Ximena Ayala] appear in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,36,1,what does [Nell Cattrysse] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,37,1,what does [Sharon Gans] act in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,38,1,what does [Beatrice Lillie] act in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,39,1,what movies did [Caroline Aaron] star in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,40,1,what films does [Celia Montalván] appear in,valid_json,True,hallucination / grounding failure,True,True,0.2,exact miss,0.0,0.0,0.0,0.0,1,4,1,4
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,41,1,what movies did [Martín Adjemián] act in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,42,1,[Judi Dench] appears in which movies,valid_json,True,hallucination / grounding failure,True,True,0.8571428571428571,exact miss,0.0,0.0,0.0,0.0,7,1,7,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,43,1,what does [Marlee Matlin] appear in,valid_json,True,hallucination / grounding failure,True,True,0.75,partial: missing + extra,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,3,3
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,44,1,what films did [Fabiola Quiroz] act in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,45,1,what films did [Carroll Ballard] act in,valid_json,True,hallucination / grounding failure,True,True,0.75,partial: overgeneration,0.0,0.2857142857142857,0.16666666666666666,1.0,0,5,1,36
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,46,1,what movies did [Nicole Grimaudo] act in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,47,1,what films did [Agnes Ayres] act in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,48,1,what films did [Audra Lindley] act in,valid_json,True,"correct answer, unsupported evidence",True,True,0.5,correct,1.0,1.0,1.0,1.0,0,0,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,49,1,what movies did [Max Elliott Slade] act in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,50,1,what movies did [Knut Berger] star in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,51,1,what films did [Tamara Toumanova] star in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,52,1,what films does [Ralf Harolde] appear in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,53,1,what movies did [Sophie Rois] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,54,1,what does [Marguerite Churchill] appear in,valid_json,True,hallucination / grounding failure,True,True,0.2,partial: incomplete answer set,0.0,0.6666666666666666,1.0,0.5,1,0,2,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,55,1,what films did [Odoardo Spadaro] act in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,56,1,what films does [Ben Mendelsohn] appear in,valid_json,True,"correct answer, unsupported evidence",True,True,0.45454545454545453,correct,1.0,1.0,1.0,1.0,0,0,5,5
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,57,1,what films did [Pat Derby] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,58,1,what movies did [Wesley Jonathan] star in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,partial: missing + extra,0.0,0.5,0.5,0.5,1,1,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,59,1,what movies did [Paul Lynde] act in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,60,1,what does [JoBeth Williams] appear in,valid_json,True,hallucination / grounding failure,True,True,0.2,partial: incomplete answer set,0.0,0.25,1.0,0.14285714285714285,6,0,7,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,61,1,what movies was [William Zappa] an actor in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,62,1,what films does [Susan Cabot] appear in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,63,1,what movies did [Eion Bailey] act in,valid_json,True,hallucination / grounding failure,True,True,0.7333333333333333,exact miss,0.0,0.0,0.0,0.0,3,1,3,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,64,1,what films did [Leonid Mozgovoy] star in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,65,1,what movies did [Taurean Blacque] star in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,66,1,what does [Chips Rafferty] act in,valid_json,True,"correct answer, unsupported evidence",True,True,0.4,correct,1.0,1.0,1.0,1.0,0,0,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,67,1,what films does [Grace Kelly] appear in,valid_json,True,hallucination / grounding failure,True,True,0.8181818181818182,partial: missing + extra,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,1,1,9,19
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,68,1,what does [Stanley Baker] act in,valid_json,True,partial overlap: incomplete answer set,True,True,1.0,partial: incomplete answer set,0.0,0.9090909090909091,1.0,0.8333333333333334,1,0,6,5
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,69,1,[Eric Cantona] appears in which movies,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,70,1,what movies did [Mike White] star in,valid_json,True,hallucination / grounding failure,True,True,0.5555555555555556,partial: overgeneration,0.0,0.4,0.25,1.0,0,3,1,4
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,71,1,what does [Ayesha Takia] star in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,72,1,what does [Susan George] act in,valid_json,True,partial overlap: incomplete answer set,True,True,1.0,partial: incomplete answer set,0.0,0.8,1.0,0.6666666666666666,2,0,6,4
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,73,1,what movies was [Scott Grimes] an actor in,valid_json,True,hallucination / grounding failure,True,True,0.25,partial: overgeneration,0.0,0.08695652173913045,0.045454545454545456,1.0,0,21,1,22
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,74,1,what does [Geraldine Smith] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,75,1,what films did [Patrick Malahide] star in,valid_json,True,hallucination / grounding failure,True,True,0.26666666666666666,exact miss,0.0,0.0,0.0,0.0,2,1,2,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,76,1,what does [Joanna Newsom] star in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,77,1,what films did [Lemmy] act in,valid_json,True,hallucination / grounding failure,True,True,0.25,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,78,1,what films did [Carrie Henn] act in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,79,1,what films does [Julian Sands] appear in,valid_json,True,partial overlap: overgeneration,True,True,1.0,partial: overgeneration,0.0,0.923076923076923,0.8571428571428571,1.0,0,1,6,8
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,80,1,what films did [Greg McLane] star in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,81,1,what movies did [Maury Chaykin] star in,valid_json,True,"correct answer, unsupported evidence",True,True,0.5,correct,1.0,1.0,1.0,1.0,0,0,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,82,1,what movies was [Jade Yorker] an actor in,valid_json,True,hallucination / grounding failure,True,True,0.2,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,83,1,what does [Chevy Chase] appear in,valid_json,True,partial overlap: incomplete answer set + extra answers,True,True,1.0,partial: missing + extra,0.0,0.4347826086956522,0.8333333333333334,0.29411764705882354,12,1,17,6
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,84,1,what movies did [Margrét Vilhjálmsdóttir] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,85,1,what does [Andy Rodoreda] act in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,86,1,what films did [Jon Seda] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,87,1,what films does [Tom Hughes] appear in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,88,1,what movies was [Jason Alexander] an actor in,valid_json,True,hallucination / grounding failure,True,True,0.8571428571428571,partial: missing + extra,0.0,0.7692307692307692,0.7142857142857143,0.8333333333333334,1,2,6,33
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,89,1,what movies did [Tyler Labine] act in,valid_json,True,"correct answer, unsupported evidence",True,True,0.75,correct,1.0,1.0,1.0,1.0,0,0,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,90,1,what movies was [Mitchell Ryan] an actor in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,91,1,what does [Haley Joel] act in,valid_json,True,hallucination / grounding failure,True,True,0.3333333333333333,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,92,1,what movies did [Jackie Earle Haley] star in,valid_json,True,partial overlap: incomplete answer set,True,True,1.0,partial: incomplete answer set,0.0,0.6666666666666666,1.0,0.5,4,0,8,14
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,93,1,what movies was [Heather Sears] an actor in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,partial: incomplete answer set,0.0,0.6666666666666666,1.0,0.5,1,0,2,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,94,1,what movies did [Annabelle Gurwitch] star in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,95,1,[Ryan Alosio] appears in which movies,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,partial: incomplete answer set,0.0,0.6666666666666666,1.0,0.5,1,0,2,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,96,1,[Jack Palance] appears in which movies,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,partial: incomplete answer set,0.0,0.125,1.0,0.06666666666666667,14,0,15,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,97,1,what films does [Baby Peggy] appear in,valid_json,True,hallucination / grounding failure,True,True,0.5,exact miss,0.0,0.0,0.0,0.0,1,1,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,98,1,what does [Mark Dacascos] act in,valid_json,True,hallucination / grounding failure,True,True,0.75,partial: incomplete answer set,0.0,0.33333333333333337,1.0,0.2,4,0,5,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,99,1,what movies was [Roger Perry] an actor in,valid_json,True,"correct answer, unsupported evidence",True,True,0.25,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,100,1,what does [Olga Baclanova] star in,valid_json,True,hallucination / grounding failure,True,True,0.6666666666666666,partial: incomplete answer set,0.0,0.6666666666666666,1.0,0.5,1,0,2,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,101,1,what films does [Misa Shimizu] appear in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,102,1,[Gustav Fröhlich] appears in which movies,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,103,1,what does [William Marshall] star in,valid_json,True,"correct answer, unsupported evidence",True,True,0.6666666666666666,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,104,1,what films does [Kelly Clarkson] appear in,valid_json,True,partial overlap: overgeneration,True,True,1.0,partial: overgeneration,0.0,0.18181818181818182,0.1,1.0,0,9,1,22
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,105,1,what does [Philip Stone] star in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,1,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,106,1,what movies was [Marianne Faithfull] an actor in,valid_json,True,hallucination / grounding failure,True,True,0.8333333333333334,partial: incomplete answer set,0.0,0.5,1.0,0.3333333333333333,2,0,3,1
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,107,1,what films did [Plácido Domingo] act in,valid_json,True,correct grounded answer,True,True,1.0,correct,1.0,1.0,1.0,1.0,0,0,2,2
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,0.5B,hybrid,108,1,what movies did [Marius Goring] star in,valid_json,True,hallucination / grounding failure,True,True,0.46153846153846156,partial: incomplete answer set,0.0,0.8,1.0,0.6666666666666666,1,0,3,2
